global_index,lex_topic_0,lex_topic_1,lex_topic_2,lex_topic_3,lex_topic_4,lex_topic_5,lex_topic_6,lex_topic_7
59,0.01904761904761905,0.0380952380952381,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.047619047619047616,0.009523809523809525
60,0.0,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.0,0.02702702702702703,0.0,0.013513513513513514
61,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0
62,0.0196078431372549,0.0,0.058823529411764705,0.0392156862745098,0.0196078431372549,0.0784313725490196,0.0,0.0392156862745098
63,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0
64,0.011363636363636364,0.045454545454545456,0.022727272727272728,0.13636363636363635,0.045454545454545456,0.056818181818181816,0.03409090909090909,0.056818181818181816
65,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.0,0.02702702702702703
66,0.007725321888412017,0.005150214592274678,0.005150214592274678,0.006008583690987125,0.004291845493562232,0.002575107296137339,0.007725321888412017,0.005150214592274678
67,0.026865671641791045,0.008955223880597015,0.0,0.0,0.026865671641791045,0.01791044776119403,0.026865671641791045,0.0
68,0.026627218934911243,0.008875739644970414,0.0029585798816568047,0.0,0.026627218934911243,0.005917159763313609,0.023668639053254437,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.01904761904761905,0.08571428571428572,0.009523809523809525,0.08571428571428572,0.05714285714285714,0.0380952380952381,0.009523809523809525,0.0380952380952381
71,0.0,0.008928571428571428,0.0,0.017857142857142856,0.008928571428571428,0.026785714285714284,0.0,0.008928571428571428
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693
82,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
