global_index,label,score
0,NEU,0.3289158046245575
1,NEU,0.3057010769844055
2,NEU,0.4569093883037567
3,NEU,0.32942429184913635
4,POS,0.4458674490451813
5,NEU,0.4023398160934448
6,NEU,0.3700108528137207
7,NEU,0.2912995219230652
8,NEU,0.36549755930900574
9,NEU,0.5197962522506714
10,NEU,0.44850602746009827
11,POS,0.3933408260345459
12,NEU,0.23920714855194092
13,NEU,0.4558979570865631
14,NEU,0.3464357554912567
15,NEU,0.35817962884902954
16,NEU,0.29325807094573975
17,NEU,0.3449425995349884
18,NEU,0.4678669273853302
19,NEG,0.3430412709712982
20,NEU,0.5066303014755249
21,NEU,0.36086350679397583
22,NEU,0.25072112679481506
23,NEU,0.4203868508338928
24,NEU,0.24652588367462158
25,NEU,0.42999666929244995
26,NEU,0.31189000606536865
27,NEU,0.2976120114326477
28,NEU,0.4785614013671875
29,NEU,0.27163660526275635
30,NEU,0.4896526038646698
31,NEU,0.3948080241680145
32,NEG,0.2881249189376831
33,NEU,0.31444817781448364
34,NEU,0.28920647501945496
35,NEU,0.39333897829055786
36,NEU,0.41928523778915405
37,NEU,0.3441756069660187
38,NEU,0.3371027708053589
39,NEU,0.40878769755363464
40,NEU,0.2828831374645233
41,NEU,0.264919251203537
42,NEU,0.2776596248149872
43,NEU,0.44367924332618713
44,NEU,0.2373458594083786
45,NEU,0.4433125853538513
46,NEU,0.5311406850814819
47,NEU,0.3113570809364319
48,NEU,0.0
49,NEU,0.2759447693824768
50,POS,0.46950146555900574
51,NEU,0.3036310076713562
52,NEG,0.2785995900630951
53,NEU,0.3455841839313507
54,NEU,0.3099527657032013
55,NEU,0.2858280539512634
56,NEU,0.4071349501609802
57,NEU,0.30308765172958374
58,NEU,0.38061776757240295
59,NEU,0.3066476881504059
60,NEU,0.36394745111465454
61,NEU,0.3167763948440552
62,NEU,0.24973919987678528
63,NEU,0.37483155727386475
64,NEU,0.31172242760658264
65,NEU,0.4427655041217804
66,POS,0.5203505754470825
67,NEU,0.4672378897666931
68,NEU,0.4585142433643341
69,POS,0.43623700737953186
70,NEU,0.412382036447525
71,NEU,0.4815342128276825
72,NEU,0.34839358925819397
73,POS,0.3415167033672333
74,NEU,0.28163081407546997
75,NEU,0.3897000551223755
76,POS,0.6140828728675842
77,POS,0.4773825407028198
78,POS,0.5127878189086914
79,NEU,0.3764592707157135
80,POS,0.4231540858745575
81,NEU,0.41906216740608215
82,NEU,0.35782045125961304
83,NEU,0.4474679231643677
84,POS,0.5436407327651978
85,NEU,0.47455644607543945
86,NEU,0.27123942971229553
87,POS,0.501236081123352
