global_index,lex_topic_0,lex_topic_1,lex_topic_2,lex_topic_3,lex_topic_4,lex_topic_5,lex_topic_6,lex_topic_7,sim_topic_1,sim_topic_5,sim_topic_6,sim_topic_4,sim_topic_2,sim_topic_0,sim_topic_3,sim_topic_7,covered_topic_0,covered_topic_1,covered_topic_2,covered_topic_3,covered_topic_4,covered_topic_5,covered_topic_6,covered_topic_7
59,0.019047619047619,0.0380952380952381,0.0095238095238095,0.019047619047619,0.019047619047619,0.0095238095238095,0.0476190476190476,0.0095238095238095,0.2786248326301574,0.2360725700855255,0.2938417792320251,0.1982096284627914,0.3114671111106872,0.1917241215705871,0.2701661586761474,0.2135823965072631,0,0,0,0,0,0,0,0
60,0.0,0.0135135135135135,0.027027027027027,0.0135135135135135,0.0,0.027027027027027,0.0,0.0135135135135135,0.4376157522201538,0.4106962084770202,0.3991941213607788,0.4395831823348999,0.4653039872646332,0.4766803979873657,0.487930953502655,0.4981690645217895,0,0,0,0,0,0,0,0
61,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.3440093994140625,0.3276311755180359,0.3180343508720398,0.2876878976821899,0.3994454741477966,0.3175227046012878,0.3429020941257477,0.3842163980007171,0,0,0,0,0,0,0,0
62,0.0196078431372549,0.0,0.0588235294117647,0.0392156862745098,0.0196078431372549,0.0784313725490196,0.0,0.0392156862745098,0.2055456340312957,0.2981389760971069,0.2250366061925888,0.2419429123401641,0.292289674282074,0.2922831773757934,0.2968504428863525,0.278247594833374,0,0,0,0,0,0,0,0
63,0.0,0.0,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0,0.0,0.3125101327896118,0.3598724901676178,0.3184690773487091,0.2997085750102997,0.3803212642669678,0.3434566855430603,0.3769535422325134,0.3794680833816528,0,0,0,0,0,0,0,0
64,0.0113636363636363,0.0454545454545454,0.0227272727272727,0.1363636363636363,0.0454545454545454,0.0568181818181818,0.034090909090909,0.0568181818181818,0.8131598830223083,0.6911417841911316,0.766952633857727,0.8067981004714966,0.8278575539588928,0.8381054401397705,0.8838967084884644,0.7806715965270996,1,1,1,1,1,1,1,1
65,0.0,0.0,0.0,0.027027027027027,0.0,0.027027027027027,0.0,0.027027027027027,0.3535233736038208,0.4093861281871795,0.4121882319450378,0.4289367794990539,0.4126888513565063,0.4349006116390228,0.460701584815979,0.3578275740146637,0,0,0,0,0,0,0,0
66,0.007725321888412,0.0051502145922746,0.0051502145922746,0.0060085836909871,0.0042918454935622,0.0025751072961373,0.007725321888412,0.0051502145922746,0.160037487745285,0.1959817111492157,0.1728191822767257,0.1239389851689338,0.2114956080913543,0.1295308470726013,0.2049958705902099,0.1413513720035553,0,0,0,0,0,0,0,0
67,0.026865671641791,0.008955223880597,0.0,0.0,0.026865671641791,0.017910447761194,0.026865671641791,0.0,0.2679197490215301,0.2804694771766662,0.27326500415802,0.2497004866600036,0.2808819115161896,0.2969047725200653,0.3444191217422485,0.2163948714733123,0,0,0,0,0,0,0,0
68,0.0266272189349112,0.0088757396449704,0.0029585798816568,0.0,0.0266272189349112,0.0059171597633136,0.0236686390532544,0.0,0.2171086370944976,0.2261247336864471,0.2286956310272216,0.2006113529205322,0.2319698631763458,0.234935849905014,0.2753361761569977,0.1762930154800415,0,0,0,0,0,0,0,0
