oms_index,forbes_index,rank,similarity
32,151,4,0.4355357885360718
32,117,5,0.43331241607666016
33,64,1,0.6197404861450195
33,91,2,0.5889276266098022
33,70,3,0.5638266801834106
33,92,4,0.5147818326950073
33,151,5,0.5131111145019531
34,64,1,0.6672560572624207
34,151,2,0.604958713054657
34,120,3,0.5595020651817322
34,70,4,0.5123864412307739
34,93,5,0.5057560205459595
35,64,1,0.6837180256843567
35,70,2,0.618695855140686
35,151,3,0.576861560344696
35,91,4,0.5679526329040527
35,117,5,0.5266764163970947
36,64,1,0.7479734420776367
36,70,2,0.6056748628616333
36,151,3,0.6013369560241699
36,120,4,0.5676097869873047
36,195,5,0.5613709688186646
37,195,1,0.5796376466751099
37,82,2,0.5475357174873352
37,165,3,0.544759213924408
37,135,4,0.5431973934173584
37,130,5,0.537971019744873
38,64,1,0.6516785621643066
38,91,2,0.6399328112602234
38,70,3,0.5727194547653198
38,120,4,0.5669077038764954
38,195,5,0.5659244656562805
39,64,1,0.7387815713882446
39,151,2,0.6804646253585815
39,123,3,0.6462976336479187
39,120,4,0.6320808529853821
39,70,5,0.6108868718147278
40,64,1,0.7220879793167114
40,151,2,0.5567631721496582
40,70,3,0.5419039726257324
40,123,4,0.5415720343589783
40,120,5,0.533705472946167
41,64,1,0.8325457572937012
41,151,2,0.6684960126876831
41,120,3,0.6184753179550171
41,117,4,0.597632884979248
41,70,5,0.5937512516975403
42,123,1,0.6113736629486084
42,64,2,0.5308393836021423
42,70,3,0.4607321619987488
42,120,4,0.42707234621047974
42,143,5,0.41846948862075806
43,64,1,0.5742397308349609
43,151,2,0.5304286479949951
43,123,3,0.5253965854644775
43,70,4,0.5216468572616577
43,152,5,0.47178155183792114
44,64,1,0.5115432143211365
44,70,2,0.45439550280570984
44,151,3,0.44527095556259155
44,120,4,0.41267725825309753
44,152,5,0.38129308819770813
45,123,1,0.5902388095855713
45,64,2,0.5157213807106018
45,70,3,0.46225929260253906
45,120,4,0.45901167392730713
45,82,5,0.3989351987838745
46,64,1,0.7116129398345947
46,70,2,0.6506590843200684
46,151,3,0.620749831199646
46,91,4,0.5245480537414551
46,143,5,0.5230607986450195
47,64,1,0.607520580291748
47,151,2,0.5851737260818481
47,143,3,0.5279268026351929
47,120,4,0.5210930705070496
47,118,5,0.5008367896080017
48,136,1,0.19762277603149414
48,103,2,0.19234934449195862
48,108,3,0.18935663998126984
48,70,4,0.18853500485420227
48,67,5,0.18718576431274414
49,64,1,0.7093625068664551
49,151,2,0.5789203643798828
49,120,3,0.5717948079109192
49,91,4,0.5531754493713379
49,70,5,0.5526508688926697
50,64,1,0.7140083312988281
50,70,2,0.6150355339050293
50,91,3,0.560968279838562
50,151,4,0.5501998066902161
50,123,5,0.49731284379959106
51,91,1,0.5973393321037292
51,70,2,0.5834638476371765
51,64,3,0.5814464092254639
51,92,4,0.5391324162483215
51,120,5,0.5054346919059753
52,64,1,0.5779060125350952
52,151,2,0.5360019207000732
52,70,3,0.5330875515937805
52,143,4,0.4597979784011841
52,91,5,0.43405669927597046
53,64,1,0.7274353504180908
53,120,2,0.6496921181678772
53,195,3,0.6183571815490723
53,117,4,0.6181376576423645
53,151,5,0.576289713382721
54,64,1,0.7026463747024536
54,195,2,0.658199667930603
54,121,3,0.6436249017715454
54,120,4,0.6342573165893555
54,91,5,0.6316379308700562
55,64,1,0.7007592916488647
55,151,2,0.582743227481842
55,120,3,0.5658735036849976
55,143,4,0.5205874443054199
55,117,5,0.5114777684211731
56,164,1,0.6103430986404419
56,130,2,0.587792158126831
56,195,3,0.5675628781318665
56,167,4,0.5583778619766235
56,207,5,0.5563615560531616
57,64,1,0.6608803272247314
57,70,2,0.6087155342102051
57,91,3,0.6006321310997009
57,151,4,0.5885988473892212
57,153,5,0.517645001411438
58,64,1,0.7381262183189392
58,195,2,0.6014434695243835
58,151,3,0.5957964658737183
58,120,4,0.5803964138031006
58,70,5,0.5748088955879211
